Brand,Model,Variant,Name,Year,Km_Driven,Fuel,Seller_Type,Transmission,Owner,Selling_Price
3,61,627,20,2012,60000,1,1,1,0,150000
3,126,542,32,2015,50000,1,1,0,0,650000
15,301,700,973,2014,40000,4,1,1,2,210000
3,163,149,33,2013,20000,1,0,1,0,425000
10,137,645,341,2014,55000,4,0,1,0,265000
6,287,593,101,2018,1136,4,0,1,0,890000
17,412,658,1026,2013,55000,4,0,1,0,365000
8,196,682,190,2014,43000,4,0,1,0,350000
12,100,663,754,2016,60000,1,1,1,0,685000
18,356,248,1045,2018,2650,1,0,1,0,940000
11,556,450,647,2017,40000,1,1,1,0,1000000
12,169,707,770,2016,115962,1,1,1,2,450000
15,479,567,981,2015,65000,1,0,1,0,590000
12,365,599,815,2017,40000,1,1,1,0,800000
10,597,163,537,2012,58000,1,0,1,0,385000
10,136,651,340,2012,54000,4,0,1,0,235000
21,39,252,1266,2017,56000,1,0,1,0,640000
12,15,629,700,2006,120000,4,1,1,4,52000
12,330,618,802,2009,90000,3,1,1,2,80000
12,15,629,700,2012,70000,4,1,1,2,140000
10,518,5,472,2008,90000,4,1,1,2,120000
3,336,374,40,2012,120000,1,1,1,0,180000
10,591,98,520,2017,10000,4,1,1,0,700000
12,372,583,819,2012,80000,1,1,1,2,285000
10,219,642,391,2015,90000,4,1,1,0,390000
12,23,555,705,2008,80000,4,1,1,0,125000
12,379,555,831,2008,60000,4,1,1,2,225000
10,585,594,486,2011,139000,4,1,1,2,175000
20,264,413,1254,2011,160000,1,1,1,2,1075000
9,309,578,308,2014,150000,1,1,1,0,300000
20,264,400,1241,2010,163000,1,1,1,1,700000
19,241,437,1079,2009,120000,1,0,1,0,90000
19,248,625,1095,2011,120000,1,1,1,2,120000
3,61,625,19,2012,100000,1,1,1,2,220000
19,583,129,1197,2015,140000,1,0,1,0,300000
18,185,121,1030,2010,87000,1,0,1,2,180000
12,5,675,671,2013,70000,4,1,1,0,170000
8,196,682,190,2015,50000,4,1,1,2,300000
20,264,417,1258,2014,70000,1,1,1,0,1050000
10,219,52,372,2018,25000,1,1,1,0,465000
3,61,627,20,2011,80000,1,1,1,2,130000
5,212,650,74,2018,10000,4,1,1,0,434999
10,219,63,375,2018,32000,4,1,1,0,500000
12,332,556,804,2018,10000,4,1,1,0,200000
12,55,41,709,2017,52000,4,0,1,0,625000
8,187,186,159,2006,120000,1,1,1,4,110000
10,150,556,353,2019,11240,4,1,1,0,800000
10,223,642,389,2017,66000,1,0,1,0,490000
12,169,707,770,2017,64000,1,0,1,0,880000
10,400,651,416,2013,49000,4,1,1,0,290000
19,432,499,1168,2006,100000,1,1,1,2,115999
17,274,657,1016,2018,26500,4,1,1,0,360000
12,5,534,664,2002,100000,4,1,1,2,65000
12,520,645,896,2017,72000,1,0,1,0,685000
9,266,660,299,2009,50000,4,1,1,0,300000
10,590,188,516,2017,44000,1,0,1,0,680000
12,171,651,771,2017,60000,1,1,1,2,1000000
19,435,555,1173,2002,120000,1,1,1,0,100000
11,560,586,655,2010,130000,1,1,1,0,160000
12,472,556,889,2017,70000,1,1,1,0,450000
12,166,694,774,2014,20000,4,1,1,0,600000
10,590,182,514,2009,60000,1,1,1,2,180000
12,15,631,703,2010,90000,4,1,1,2,120000
10,215,602,367,2006,80000,4,1,1,4,130000
12,535,619,911,2011,155000,4,1,1,0,160000
11,66,665,556,2019,35000,1,1,1,0,860000
10,590,104,508,2018,20000,4,1,1,2,650000
12,536,643,921,2010,80000,4,1,1,2,100000
12,15,517,688,2017,20000,4,1,1,0,282000
10,594,6,527,2009,50000,4,1,1,0,300000
10,590,549,526,2010,110000,4,1,1,2,270000
10,506,309,445,2013,29000,1,1,1,0,550000
11,561,556,652,2013,120000,1,1,1,0,450000
11,69,454,561,2011,70000,1,1,1,2,430000
12,173,533,775,2013,40000,4,1,1,0,350000
9,72,60,237,2017,20000,4,1,1,0,350000
20,182,600,1227,2013,50000,4,1,1,2,229999
12,15,511,682,2013,50000,4,1,1,0,110000
12,450,116,840,2012,49000,4,1,1,2,395000
11,424,390,611,2011,70000,1,1,0,2,650000
11,64,665,559,2011,90000,1,1,1,2,350000
19,487,89,1183,2018,4000,4,1,1,0,360000
17,127,364,994,2015,15000,1,1,1,0,800000
10,140,651,346,2018,30000,4,1,1,0,229999
12,528,694,924,2014,41000,4,0,1,0,315000
3,430,16,53,2012,28000,4,1,1,0,125000
12,54,547,708,2019,16000,4,1,1,0,700000
10,133,14,336,2015,70000,4,1,1,0,160000
8,192,107,175,2017,10832,4,0,1,0,530000
8,192,599,181,2018,14681,1,0,1,0,624000
10,585,594,486,2009,50000,4,1,1,0,250000
11,64,665,559,2016,51000,1,0,1,0,585000
10,506,193,439,2015,25000,4,1,1,0,500000
3,383,76,43,2014,30000,4,1,1,0,350000
9,112,668,278,2014,80000,1,0,1,0,495000
10,219,63,375,2017,50000,4,1,1,0,500000
10,219,73,382,2013,44000,4,0,1,0,345000
12,58,41,717,2015,10000,4,1,1,0,500000
19,487,89,1183,2019,19600,4,1,1,0,425000
12,528,630,914,2005,40000,4,1,1,2,80000
3,61,625,19,2011,50000,1,1,1,0,106000
12,6,696,677,2009,46730,4,1,1,0,180000
5,207,532,66,2015,40000,4,1,1,2,250000
18,570,475,1061,2011,80000,1,1,1,0,350000
12,580,554,953,2002,80000,4,1,1,2,60000
10,507,294,456,2018,24000,1,1,1,0,900000
8,43,556,113,2017,21170,1,0,1,0,700000
12,171,651,771,2017,40000,1,1,1,0,1000000
3,477,456,60,2007,120000,1,1,1,4,160000
14,337,393,963,2012,140000,4,1,0,0,525000
12,55,128,710,2019,30000,1,1,1,0,800000
8,192,239,177,2017,88635,1,0,1,0,700000
12,450,688,851,2018,25000,1,1,1,0,800000
10,590,104,508,2017,20000,4,1,1,2,575000
17,127,365,995,2012,110000,1,1,1,2,350000
12,470,555,885,2008,120000,1,1,1,4,250000
8,162,478,147,2011,149674,1,0,1,2,600000
11,414,429,595,2007,100000,1,1,1,4,370000
12,54,696,718,2006,120000,4,1,1,4,80000
19,239,577,1075,2003,120000,1,1,1,2,50000
10,507,294,456,2018,25000,1,1,1,0,900000
12,543,619,927,2014,35000,4,1,1,2,300000
19,239,626,1077,2002,40000,4,1,1,0,125000
12,450,688,851,2015,60000,1,1,1,2,490000
20,182,601,1228,2012,50000,1,1,1,2,300000
19,310,667,1141,2013,25000,4,1,1,1,55000
10,219,674,396,2016,25000,4,1,1,0,350000
10,219,52,372,2019,8000,1,1,1,0,755000
12,169,688,769,2017,60000,1,1,1,0,720000
21,348,120,1292,2013,100000,4,1,1,0,400000
10,558,34,473,2015,70000,1,1,1,2,350000
3,61,649,22,2012,68000,1,0,1,0,159000
12,474,556,894,2017,38000,4,0,1,0,550000
12,363,689,810,2013,80000,1,0,1,0,335000
19,253,605,1102,2014,72000,0,0,1,0,185000
12,144,487,758,2012,75000,0,0,1,0,229999
12,178,630,785,2014,43000,4,0,1,0,225000
12,468,533,883,2007,120000,4,1,1,2,250000
19,583,153,1198,2015,100000,1,1,1,0,400000
12,464,556,873,2014,163000,1,1,1,0,470000
12,21,647,697,2018,25000,4,1,0,0,300000
12,15,629,700,2011,25000,4,1,1,0,145000
12,374,555,824,2007,90000,4,1,1,2,100000
11,420,556,608,2014,70000,1,1,1,2,500000
10,403,560,420,2010,98000,0,1,1,2,130000
3,125,628,31,2010,81925,1,1,1,0,240000
8,195,591,183,2013,80000,1,1,1,2,150000
17,277,647,1018,2017,40000,4,1,1,0,270000
12,450,688,851,2014,90000,1,1,1,0,400000
10,136,651,340,2012,46000,4,1,1,0,200000
11,556,450,647,2012,80000,1,1,1,0,550000
17,274,24,1008,2018,35000,4,1,1,0,325000
18,356,246,1043,2017,82080,1,1,0,0,860000
3,430,7,51,2009,70000,4,1,1,0,125000
3,477,456,60,2010,120000,1,1,1,4,300000
8,186,323,156,2007,60000,4,1,1,4,190000
12,166,688,772,2013,110000,1,1,1,0,400000
19,294,619,1124,2011,97000,1,1,1,2,260000
12,466,694,876,2017,30000,4,1,1,0,400000
10,599,650,543,2010,40000,4,1,1,0,250000
10,219,63,375,2019,10000,4,1,1,0,600000
12,578,556,948,2010,52047,4,1,1,0,175000
19,487,93,1184,2019,15000,4,1,0,2,350000
12,519,708,899,2018,50000,1,1,1,0,800000
12,467,555,879,2011,70000,4,1,1,2,250000
12,467,556,880,2019,10000,4,1,1,0,600000
12,464,556,873,2017,90000,1,1,1,0,600000
12,15,511,682,2016,40000,4,1,1,0,130000
12,528,630,914,2006,62009,4,1,1,2,90000
10,591,94,519,2017,33100,4,1,1,2,595000
10,136,651,340,2014,40000,4,1,1,2,190000
12,536,643,921,2007,80000,4,1,1,0,95000
19,381,692,1165,2016,70000,1,1,1,0,1000000
11,64,665,559,2010,50000,1,1,1,0,400000
5,208,532,67,2015,45000,4,1,1,2,315000
20,199,485,1236,2014,110000,1,1,1,0,1000000
8,143,208,134,2014,49000,1,1,1,0,500000
11,446,504,618,2017,160000,1,1,1,0,500000
12,5,534,664,2007,60000,4,1,1,2,105000
8,160,422,142,2008,110000,1,1,1,4,400000
12,528,630,914,2004,60000,4,1,1,4,80000
12,15,517,688,2016,30000,4,1,1,0,300000
11,273,352,566,2017,40000,1,1,1,0,409999
12,447,608,862,2009,70000,4,1,1,0,250000
19,319,384,1151,2010,120000,1,1,1,2,250000
12,450,688,851,2012,80000,1,1,1,4,215000
9,72,114,240,2018,20000,4,1,1,0,475000
9,72,114,240,2018,22000,4,1,1,0,475000
3,430,15,52,2008,35000,4,1,1,2,75000
3,385,533,48,2013,120000,1,1,1,2,200000
19,488,650,1187,2019,8000,4,1,1,0,575000
12,363,689,810,2011,40000,1,1,1,2,150000
12,522,651,900,2018,10000,1,1,1,0,850000
10,389,594,401,2019,30000,4,1,1,0,350000
8,160,422,142,2011,54000,1,1,1,2,550000
10,506,193,439,2017,80577,4,1,1,0,330000
9,112,686,279,2017,25000,1,1,1,0,1044999
10,506,281,440,2011,127500,1,1,1,2,300000
10,135,651,338,2015,40903,4,0,1,0,235000
8,196,682,190,2011,60000,4,1,1,4,120000
12,528,694,924,2004,46000,4,1,1,0,130000
8,160,486,145,2004,22288,1,0,1,2,275000
21,343,252,1284,2015,30000,1,1,1,2,500000
10,219,674,396,2015,61690,4,0,1,0,400000
10,594,41,529,2015,64484,4,0,1,0,600000
17,127,519,998,2013,75976,1,0,1,2,400000
8,194,682,186,2011,70000,1,1,1,2,220000
9,73,641,241,2012,85962,4,0,1,2,300000
12,329,619,801,2018,120000,4,1,1,0,250000
9,309,578,308,2015,120000,1,1,1,0,600000
9,76,542,244,2012,75000,4,1,0,2,285000
9,13,395,209,2009,57035,4,0,1,0,350000
11,64,665,559,2011,70000,1,1,1,4,170000
8,191,123,165,2015,45000,4,1,1,0,229999
11,556,450,647,2013,72104,1,0,1,2,500000
19,310,635,1138,2011,15000,4,1,1,0,75000
10,591,98,520,2016,30000,4,1,1,0,600000
19,262,582,1116,2011,80000,1,1,1,0,220000
19,249,190,1097,2009,164000,1,1,1,2,150000
12,15,629,700,2006,124439,4,1,1,2,65000
12,571,694,955,2006,77000,4,1,1,2,120000
12,450,688,851,2014,90000,1,1,1,0,240000
17,274,24,1008,2017,30000,4,1,1,0,390000
3,60,625,23,2012,50000,4,1,1,0,180000
12,447,688,872,2012,80000,1,1,1,2,320000
12,15,511,682,2018,5000,4,1,1,0,310000
12,529,694,904,2018,24000,4,1,0,0,420000
19,488,650,1187,2019,10000,4,1,1,0,550000
12,169,688,769,2016,78000,1,1,1,4,550000
11,475,466,623,2018,50000,1,1,1,0,760000
12,5,535,665,2001,100000,4,1,1,2,43000
12,332,556,804,2018,20000,4,1,1,0,250000
10,395,556,410,2019,1250,4,1,1,0,500000
19,584,117,1199,2015,17152,4,1,1,0,380000
21,346,120,1289,2012,77000,1,1,1,0,350000
10,506,563,455,2008,90000,1,1,1,2,195000
3,60,625,23,2011,80000,4,1,1,2,225000
19,247,629,1093,2011,80000,1,1,1,0,133000
10,136,651,340,2013,24005,4,1,1,0,200000
12,522,651,900,2018,20000,1,1,1,0,940000
17,127,520,999,2014,120000,1,1,1,0,400000
10,587,33,487,2009,120000,4,1,1,2,120000
12,450,707,858,2015,80000,1,1,1,0,625000
12,447,152,836,2005,80000,4,1,1,0,110000
17,127,365,995,2012,100000,1,1,1,0,490000
12,15,629,700,2009,120000,4,1,1,2,140000
8,194,711,187,2011,149000,1,1,1,2,175000
12,536,555,916,2005,65000,4,1,1,2,90000
12,462,556,870,2009,100000,1,1,1,2,275000
21,494,613,1305,2011,65000,1,1,1,2,300000
5,212,556,73,2018,19000,4,1,1,2,270000
3,60,627,24,2010,80000,4,1,1,2,130000
12,20,546,698,2015,30000,4,1,1,0,275000
12,447,688,872,2012,109000,1,1,1,0,352000
10,139,651,343,2012,90000,3,1,1,0,180000
12,15,629,700,2012,90000,4,1,1,0,150000
12,470,555,885,2010,110000,1,1,1,2,300000
11,65,496,550,2007,120000,1,1,1,0,225000
9,309,578,308,2014,44000,1,1,1,0,600000
12,167,711,766,2015,80000,4,1,1,0,500000
9,51,641,234,2018,5000,4,1,1,0,900000
10,597,41,535,2016,61000,4,1,1,0,600000
20,179,687,1233,2011,100000,1,1,1,2,450000
10,587,33,487,2009,27633,4,1,1,0,270000
12,470,555,885,2010,100000,1,1,1,4,310000
10,404,624,419,2012,100000,3,1,1,0,250000
8,191,124,166,2019,12586,4,0,1,0,700000
6,49,144,87,2018,38083,1,0,1,0,650000
8,194,711,187,2012,55328,1,0,1,0,400000
8,194,682,186,2012,81632,1,0,1,0,425000
8,43,556,113,2016,155201,1,0,1,0,600000
8,142,240,125,2013,93283,1,0,1,0,600000
8,187,173,158,2012,90165,1,0,1,0,450000
8,143,208,134,2014,101504,1,0,1,0,750000
8,197,556,193,2010,86017,1,0,1,2,325000
11,557,450,648,2013,85036,1,0,1,2,900000
8,238,156,204,2006,91086,4,0,1,2,180000
6,353,137,107,2013,160254,1,0,1,2,350000
8,142,240,125,2013,125531,1,0,1,2,600000
9,526,686,310,2019,60000,1,1,1,0,900000
18,282,342,1037,2006,100000,1,1,1,0,350000
12,363,622,806,2013,90000,1,1,1,4,280000
11,560,568,650,2009,120000,1,1,1,2,225000
9,109,660,268,2014,82000,1,1,1,0,520000
11,414,349,588,2016,60000,1,1,1,0,509999
12,55,41,709,2019,24000,4,1,1,0,556000
19,261,582,1112,2014,120000,1,1,1,0,225000
9,26,715,215,2013,65000,1,0,1,0,325000
12,447,688,872,2013,65000,1,0,1,0,365000
10,123,287,329,2015,84000,1,0,1,0,850000
20,181,666,1222,2013,75000,1,0,1,0,350000
12,447,688,872,2007,50000,1,0,1,0,225000
12,15,629,700,2011,50000,4,1,1,0,135000
12,536,643,921,2007,49000,4,0,1,0,140000
17,274,657,1016,2015,14365,4,0,1,0,275000
10,506,307,444,2013,65000,1,0,1,0,484999
12,97,663,746,2015,65000,1,0,1,0,565000
12,450,688,851,2013,61083,1,0,1,0,425000
20,264,417,1258,2013,75000,1,1,1,0,925000
11,425,452,614,2012,72000,1,0,1,0,565000
17,127,364,994,2014,65000,1,0,1,0,525000
10,136,651,340,2015,21000,4,0,1,2,295000
12,473,556,892,2016,7104,4,2,1,0,670000
12,369,435,817,2015,45974,1,2,1,0,750000
10,506,320,452,2015,55340,4,2,1,0,760000
21,343,607,1291,2017,20000,4,0,0,2,850000
17,351,658,1022,2015,61585,1,2,1,0,390000
12,86,556,727,2016,39415,4,2,0,2,450000
9,77,641,245,2014,29654,4,2,1,0,425000
12,55,128,710,2016,64672,1,2,1,0,770000
9,111,686,276,2015,66521,4,2,1,0,775000
17,127,520,999,2013,1000,1,0,1,2,450000
10,123,285,327,2016,52600,1,1,1,0,535000
12,374,556,825,2012,110000,4,1,1,2,225000
10,219,66,377,2017,19890,4,0,0,0,550000
12,166,694,774,2015,11918,4,2,1,0,625000
10,225,542,392,2017,10510,4,0,0,0,520000
3,63,645,26,2016,41000,4,0,1,0,239000
10,585,642,489,2012,49824,4,0,1,0,229999
10,389,606,404,2005,56580,4,0,1,0,80000
18,280,378,1034,2012,52000,1,0,1,0,385000
12,450,688,851,2017,46507,1,2,1,0,600000
10,599,41,540,2013,50000,4,1,1,2,350000
12,15,511,682,2014,30000,4,1,1,0,114999
10,599,41,540,2013,50000,4,1,1,2,380000
11,414,350,589,2016,35000,1,1,1,0,900000
3,60,627,24,2012,90000,4,1,1,2,200999
12,329,619,801,2014,11451,4,1,1,0,229999
19,321,231,1162,2019,60000,1,1,1,0,800000
12,447,688,872,2018,60000,1,1,1,0,600000
3,476,498,57,2005,150000,1,1,1,0,150000
3,336,373,39,2009,66000,1,1,1,0,150000
12,144,490,760,2019,5000,4,1,1,0,380000
12,447,152,836,2006,66508,4,1,1,2,80000
9,115,329,286,2007,55000,4,1,1,2,225000
19,314,556,1140,2012,29900,4,1,1,0,75000
19,247,692,1094,2012,85000,1,1,1,0,185000
11,414,424,591,2011,50000,1,1,1,0,425000
19,243,190,1085,2010,120000,1,1,1,2,100000
12,575,555,944,2008,90000,4,1,1,4,140000
12,452,619,844,2017,8000,4,1,0,0,710000
9,28,717,216,2015,7900,4,1,0,0,450000
5,361,645,83,2017,50000,4,1,1,0,210000
12,17,694,695,2016,25000,4,1,1,0,270000
12,15,631,703,2009,20000,4,1,1,0,110000
12,447,694,878,2018,17500,4,1,1,0,540000
11,362,179,583,2008,25000,4,1,1,0,145000
10,588,624,495,2013,88600,3,1,1,0,250000
19,501,589,1193,2012,80000,1,1,1,0,110000
3,80,627,29,2008,100000,1,1,1,1,250000
3,47,74,15,2010,60000,4,1,1,0,140000
12,103,556,757,2019,11000,4,1,1,0,925000
19,236,701,1071,2017,30000,1,1,1,0,969999
10,401,560,415,2007,80000,0,1,1,4,90000
10,391,615,402,2001,60000,4,1,1,4,55000
10,506,563,455,2007,100000,1,1,1,1,155000
11,485,533,631,2019,15000,1,1,1,0,900000
12,17,438,690,2011,90000,4,1,1,0,135000
12,5,534,664,2012,120000,4,1,1,0,180000
10,506,307,444,2013,100000,1,1,1,2,495000
20,264,414,1255,2009,138000,1,1,1,4,400000
10,506,563,455,2008,110000,1,1,1,2,250000
12,17,630,692,2015,120000,4,1,1,1,138000
9,104,264,254,2011,70000,4,1,0,2,311000
12,15,517,688,2015,70000,4,1,1,0,190000
11,64,665,559,2011,140000,1,1,1,0,311000
12,363,630,807,2009,15000,4,1,1,0,300000
9,266,692,303,2018,20000,4,1,1,0,600000
11,420,555,607,2009,100000,1,1,1,0,550000
18,356,302,1048,2015,70000,4,1,0,0,600000
12,15,517,688,2018,5000,4,1,1,0,195000
19,310,629,1136,2013,27974,4,1,1,0,58000
12,15,517,688,2018,40000,4,1,1,0,183000
12,573,38,940,2007,80000,4,1,1,0,95000
12,534,643,913,2013,38000,4,1,1,0,250000
19,584,117,1199,2014,35000,4,1,1,0,400000
10,506,309,445,2012,60000,1,1,1,2,409999
18,324,345,1039,2004,120000,1,1,1,2,120000
12,448,694,837,2018,18000,4,1,0,0,600000
9,31,716,224,2016,10000,4,1,1,0,600000
11,556,450,647,2015,90000,1,1,1,4,825000
20,179,601,1221,2016,80000,1,1,1,2,625000
10,228,563,394,2020,1400,1,1,1,0,700000
3,60,625,23,2011,60000,4,1,1,0,160000
12,15,629,700,2011,60000,4,1,1,4,114999
12,536,643,921,2009,53000,4,1,1,0,150000
21,272,341,1272,2010,100000,1,0,1,0,250000
10,506,307,444,2012,86000,1,0,1,2,390000
17,127,520,999,2015,100000,1,1,1,0,650000
10,558,36,475,2016,30000,1,1,1,0,600000
